"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U13";"LQFP-100_14x14mm_Pitch0.5mm";1;"STM32F407VGTx";;;
2;"ECI2";"TE_5530843-2_7X2_EDGE_CONNECTOR";1;"ECIBUS";;;
3;"C1";"c_elec_5x5.3";1;"10u";;;
4;"C2";"c_elec_5x5.3";1;"22u";;;
5;"C3";"c_elec_5x5.3";1;"47u";;;
6;"C4,C5,C8,C9,C10,C11,C12,C13,C14,C15";"C_1206_HandSoldering";10;"100n";;;
7;"C6,C7";"C_1206_HandSoldering";2;"20p";;;
8;"D1";"LED_1206";1;"LRED";;;
9;"D2";"LED_1206";1;"LYELLOW";;;
10;"D3";"LED_1206";1;"LED.GREEN";;;
11;"D4";"LED_1206";1;"LED.RED";;;
12;"D5";"LED_1206";1;"LED.AMBER";;;
13;"DISABLE.MODE.1";"Pin_Header_Straight_1x02";1;"CONN_01X02";;;
14;"EXTPWR1,STLinkV2.1";"Pin_Header_Angled_1x04";2;"CONN_01X04";;;
15;"FT232RPi.1,JP1";"Pin_Header_Straight_1x03";2;"CONN_01X03";;;
16;"J1,J2,J3,J4,J5,J6,J7,J8";"Pin_Header_Straight_1x02";8;"Conn_01x02";;;
17;"L1,L2";"Choke_SMD_1206_Handsoldering";2;"INDUCTOR_SMALL";;;
18;"P6";"Measurement_Point_Round-SMD-Pad_Small";1;"CONN_01X01";;;
19;"R1";"R_1206_HandSoldering";1;"330";;;
20;"R2,R7,R13,R14,R15";"R_1206_HandSoldering";5;"220";;;
21;"R3,R11,R12";"R_1206_HandSoldering";3;"10K";;;
22;"R4,R5,R6";"R_1206_HandSoldering";3;"0";;;
23;"R8";"R_1206_HandSoldering";1;"47k";;;
24;"R9,R10";"R_1206_HandSoldering";2;"10k";;;
25;"U1";"SOT-223";1;"NCP1117ST33T3G";;;
26;"U2,U3,U4,U5,U6";"SSOP-20_4.4x6.5mm_Pitch0.65mm";5;"TXB0108-PW";;;
27;"U9";"SSOP-14_5.3x6.2mm_Pitch0.65mm";1;"74HCT04";;;
28;"U10";"TSSOP-8_3x3mm_Pitch0.65mm";1;"74LVC2G32";;;
29;"U11";"TSSOP-8_3x3mm_Pitch0.65mm";1;"74LVC2G08";;;
30;"U12";"TSSOP-8_3x3mm_Pitch0.65mm";1;"74LVC2G74";;;
31;"XT1";"Crystal_SMD_0603-4Pin_6.0x3.5mm_HandSoldering";1;"8Mhz";;;
32;"U8,U7";"SOP-32L-20.5x11.30-1.27mm";2;"ISSI61WV5128BL";;;
33;"P8,P7";"TestPoint_Pad_1.5x1.5mm";2;"CONN_01X01";;;
34;"P5,P4,P3,P2";"MountingHole";4;"CONN_01X01";;;
35;"J9";"microSD_HC_Hirose_DM3D-SF";1;"Micro_SD_Card_Det";;;
36;"CART2";"TE_5530843-2_15X2_CART_EDGE_CONNECTOR";1;"ATARICARTRIDGE";;;
37;"SW1";"SW_SPST_FSMSM_3D";1;"SW_Push";;;
38;"P1";"Pin_Header_Straight_1x01";1;"CONN_01X01";;;
39;"CART1";"ATARI-LEFT-CARTRIDGE";1;"ATARI-CARTRIDGE";;;
40;"ECI1";"ATARI-XE-ECI-SLOT";1;"ECIBUS";;;
41;"DUOCART";"DUOCart_20x11";1;"LOGO";;;
42;"KICAD";"KiCad-Logo2_6mm_SilkScreen";1;"KiCad-Logo2_6mm_SilkScreen";;;
43;"G***";"atari_fuji_SilkScreen_21.2x25-RevBack";1;"LOGO";;;
44;"G***";"atari_800_XL_BW_25x25";1;"LOGO";;;
45;"GPL";"Symbol_GNU-GPL_CopperTop_Small";1;"Symbol_GNU-GPL_CopperTop_Small";;;
46;"REF**";"OSHW-Logo_7.5x8mm_SilkScreen";1;"OSHW-Logo_7.5x8mm_SilkScreen";;;
